arrival_time,start_time,finish_time,wait_time,queue_length
11-01-2024 04.25,2024-01-11 04:43,2024-01-11 04:47:18,18.82,25.0
28-02-2024 12.00,28-02-2024 12.07,2024-02-28 12:21:02,7.1,11.0
03-05-2023 10.06,03-05-2023 10.23,2023-05-03 10:26:53,16.57,38.0
27-08-2023 14.17,27-08-2023 14.41,2023-08-27 14:51:32,24.01,39.0
28-06-2023 15.13,28-06-2023 15.42,2023-06-28 15:44:46,29.27,34.0
16-05-2023 20.13,16-05-2023 20.37,2023-05-16 20:39:15,23.3,37.0
18-03-2024 18.50,18-03-2024 19.02,2024-03-18 19:04:44,12.51,30.0
30-03-2023 17.34,30-03-2023 17.43,2023-03-30 17:54:59.599999999,11.11,16.0
02-08-2023 01.46,02-08-2023 02.02,2023-08-02 02:15:56,15.99,47.0
20-06-2023 15.24,20-06-2023 15.55,2023-06-20 16:09:13,30.74,48.0
05-02-2024 06.07,05-02-2024 06.44,2024-02-05 06:55:35,36.76,66.0
30-03-2023 12.33,30-03-2023 12.43,2023-03-30 12:55:49.000000000,12.7,40.0
26-12-2023 08.52,26-12-2023 09.08,26-12-2023 09:11:58.648420,15.72,18.0
,28-06-2023 01.31,2023-06-28 01:34:36,26.39,36.0
05-09-2023 06.18,05-09-2023 06.38,2023-09-05 06:47:14,20.48,37.0
2023/04/04 02:14:54,04-04-2023 02.31,2023-04-04 02:35:02,16.64,25.0
2023/09/14 12:53:48,14-09-2023 13.16,14-09-2023 13:29:04.460998,22.56,27.0
28-12-2023 12.29,28-12-2023 12.53,2023-12-28 12:58:29,23.27,40.0
02-07-2023 16.51,02-07-2023 17.20,2023-07-02 17:26:06,28.71,43.0
21-07-2023 14.28,21-07-2023 14.46,2023-07-21 15:01:04,17.67,15.0
23-03-2024 09.41,23-03-2024 09.51,2024-03-23 09:56:49,9.55,18.0
07-11-2023 04.01,07-11-2023 04.29,2023-11-07 04:31:50,28.28,
20-04-2023 07.52,20-04-2023 08.07,2023-04-20 08:20:21,68.73,26.0
,20-02-2024 13.14,2024-02-20 13:30:50,42.38,63.0
24-05-2023 14.32,24-05-2023 14.57,2023-05-24 15:12:51,24.27,57.0
04-05-2023 04.33,04-05-2023 05.01,2023-05-04 05:15:43,28.05,44.0
13-07-2023 23.16,2023-07-13 23:32,2023-07-13 23:49:29,16.11,9.0
11-07-2023 16.27,11-07-2023 16.49,2023-07-11 17:05:35,22.26,25.0
08-06-2023 10.20,08-06-2023 10.43,2023-06-08 10:55:32,23.54,30.0
01-03-2024 21.10,01-03-2024 21.39,2024-03-01 21:49:34,28.76,20.0
04-06-2023 17.34,04-06-2023 17.57,2023-06-04 18:05:32,23.53,19.0
06-02-2024 17.39,06-02-2024 17.51,2024-02-06 18:03:26,12.4,
14-12-2023 13.08,14-12-2023 13.37,2023-12-14 13:46:59,29.42,35.0
05-07-2023 02.35,05-07-2023 03.08,2023-07-05 03:19:53,32.4,23.0
25-12-2023 09.42,25-12-2023 10.01,2023-12-25 10:04:24,19.24,26.0
2023/04/12 02:38:27,12-04-2023 02.59,2023-04-12 03:04:59,21.28,43.0
09-09-2023 14.51,09-09-2023 15.01,2023-09-09 15:13:09,10.39,29.0
26-04-2023 07.15,26-04-2023 07.36,2023-04-26 07:46:17,21.01,38.0
23-05-2023 22.08,23-05-2023 22.42,2023-05-23 22:53:54,33.67,33.0
10-03-2024 18.10,10-03-2024 18.30,2024-03-10 18:48:59,19.48,32.0
23-04-2023 05.25,23-04-2023 05.33,2023-04-23 05:44:05,8.65,18.0
19-02-2024 12.05,19-02-2024 12.24,2024-02-19 12:30:13,19.58,32.0
06-12-2023 00.21,06-12-2023 00.06,2023-12-06 00:35:02,15.06,16.0
29-12-2023 01.30,29-12-2023 01.44,2023-12-29 01:54:46,13.76,34.0
15-05-2023 20.00,15-05-2023 20.22,2023-05-15 20:33:16,21.12,188.0
2023/04/28 17:36:10,28-04-2023 17.51,2023-04-28 17:54:57,15.36,25.0
06-07-2023 23.20,06-07-2023 23.47,2023-07-06 23:50:24,27.02,42.0
12-12-2023 06.51,12-12-2023 07.09,2023-12-12 07:22:52,17.56,34.0
15-11-2023 10.13,2023-11-15 10:46,15-11-2023 11:00:07.873454,32.31,36.0
15-05-2023 11.06,15-05-2023 11.28,2023-05-15 11:43:23,22.44,47.0
30-03-2023 19.51,30-03-2023 20.00,2023-03-30 20:17:22.000000000,17.2,12.0
04-02-2024 05.08,04-02-2024 05.30,2024-02-04 05:51:38,22.21,9.0
20-08-2023 08.31,20-08-2023 09.02,2023-08-20 09:18:18,30.97,41.0
19-04-2023 03.48,19-04-2023 04.07,2023-04-19 04:16:15,19.62,46.0
11-04-2023 17.21,11-04-2023 17.54,2023-04-11 18:11:20,,36.0
18-06-2023 07.47,18-06-2023 08.15,2023-06-18 08:23:07,28.21,42.0
31-12-2023 06.46,31-12-2023 07.17,2023-12-31 07:30:19,30.75,49.0
19-02-2024 05.21,19-02-2024 05.34,2024-02-19 05:53:20,12.66,20.0
2023/10/01 03:39:52,01-10-2023 04.10,2023-10-01 04:26:32,30.22,30.0
19-01-2024 20.19,19-01-2024 20.44,2024-01-19 20:46:53,25.74,17.0
05-07-2023 10.52,2023-07-05 11:22,2023-07-05 11:38:26,29.97,40.0
30-03-2023 1.58,30-03-2023 2.06,2023-03-30 02:19:40.600000000,13.06,27.0
01-03-2024 16.13,01-03-2024 16.28,2024-03-01 16:38:55,15.31,36.0
2024-01-02 04:06,02-01-2024 03.55,2024-01-02 04:14:25,11.06,16.0
2023/05/11 21:30:18,11-05-2023 21.51,2023-05-11 21:59:49,21.23,23.0
13-02-2024 19.56,13-02-2024 20.19,2024-02-13 20:28:48,23.72,37.0
06-10-2023 18.25,2023-10-06 18:50,2023-10-06 18:54:49,125.72,49.0
01-05-2023 06.34,2023-05-01 06:45,2023-05-01 06:47:20,11.1,14.0
30-03-2023 0.10,30-03-2023 0.18,2023-03-30 00:22:35.800000000,4.53,28.0
14-05-2023 05.09,14-05-2023 05.28,2023-05-14 05:43:33,19.63,20.0
21-03-2024 10.20,21-03-2024 10.39,2024-03-21 10:59:11,,0.0
13-08-2023 09.56,13-08-2023 10.20,2023-08-13 10:32:20,24.44,38.0
16-10-2023 15.18,16-10-2023 15.45,2023-10-16 15:53:23,26.85,31.0
30-03-2023 12.33,30-03-2023 12.37,2023-03-30 12:44:00.400000000,6.89,40.0
30-03-2023 12.33,30-03-2023 12.43,2023-03-30 12:51:53.799999999,8.78,40.0
23-04-2023 10.53,23-04-2023 11.23,2023-04-23 11:45:32,29.73,49.0
28-06-2023 20.42,28-06-2023 21.06,2023-06-28 21:12:30,23.66,31.0
24-02-2024 15.34,24-02-2024 15.52,2024-02-24 16:01:12,18.06,25.0
30-03-2023 5.34,30-03-2023 5.38,2023-03-30 05:51:33.600000000,13.26,168.0
24-03-2024 16.35,24-03-2024 16.55,2024-03-24 17:09:45,67.84,32.0
01-08-2023 03.47,01-08-2023 04.15,2023-08-01 04:22:04,28.3,25.0
21-11-2023 12.11,21-11-2023 12.25,2023-11-21 12:38:31,14.19,7.0
07-02-2024 04.03,07-02-2024 04.25,2024-02-07 04:33:48,21.97,15.0
31-10-2023 06.43,31-10-2023 07.00,2023-10-31 07:13:46,16.63,18.0
30-03-2023 18.31,30-03-2023 18.31,2023-03-30 18:41:58.800000000,10.58,30.0
01-05-2023 12.10,01-05-2023 12.28,2023-05-01 12:36:30,18.4,38.0
02-08-2023 20.53,02-08-2023 21.16,2023-08-02 21:20:49,23.58,28.0
30-03-2023 10.31,30-03-2023 10.37,2023-03-30 10:51:24.199999999,14.02,32.0
30-03-2023 18.31,30-03-2023 18.31,2023-03-30 18:34:27.000000000,3.05,30.0
02-06-2023 09.02,2023-06-02 09:18,2023-06-02 09:30:13,16.38,12.0
28-08-2023 03.02,28-08-2023 03.22,2023-08-28 03:24:14,20.12,51.0
11-07-2023 11.48,11-07-2023 12.10,11-07-2023 12:24:54.071632,21.77,34.0
30-03-2023 5.34,30-03-2023 5.42,2023-03-30 05:53:54.000000000,11.6,50.0
29-12-2023 11.15,29-12-2023 11.36,2023-12-29 11:43:09,21.38,25.0
15-11-2023 18.57,15-11-2023 19.04,15-11-2023 19:16:27.698406,6.28,10.0
27-06-2023 13.29,27-06-2023 13.48,2023-06-27 13:57:43,19.07,17.0
20-01-2024 13.44,20-01-2024 14.13,2024-01-20 14:22:02,29.6,33.0
2023/10/04 17:15:26,04-10-2023 17.37,2023-10-04 17:46:15,22.54,22.0
30-03-2023 0.10,30-03-2023 0.17,2023-03-30 00:26:48.400000000,9.74,28.0
08-04-2023 19.25,08-04-2023 19.57,2023-04-08 20:10:55,31.83,34.0
07-07-2023 14.12,07-07-2023 14.43,2023-07-07 14:53:16,30.94,62.0
01-01-2024 06.38,01-01-2024 06.54,2024-01-01 06:59:42,16.34,25.0
21-08-2023 14.35,21-08-2023 15.02,2023-08-21 15:20:04,27.81,33.0
12-04-2023 03.44,12-04-2023 04.09,2023-04-12 04:16:26,24.39,30.0
17-12-2023 14.39,17-12-2023 14.52,2023-12-17 15:06:00,12.81,20.0
13-04-2023 15.53,13-04-2023 16.12,2023-04-13 16:31:41,18.65,26.0
08-09-2023 16.47,08-09-2023 17.13,2023-09-08 17:18:53,26.65,39.0
25-03-2024 11.23,25-03-2024 11.32,2024-03-25 11:54:32,9.64,19.0
22-03-2024 08.47,22-03-2024 09.20,2024-03-22 09:38:38,32.98,32.0
,08-12-2023 12.35,2023-12-08 12:47:59,18.65,34.0
05-05-2023 07.52,05-05-2023 08.13,2023-05-05 08:27:08,20.84,35.0
16-03-2024 01.53,2024-03-16 02:12,2024-03-16 02:26:49,18.77,25.0
10-05-2023 18.42,10-05-2023 19.11,2023-05-10 19:28:05,29.02,43.0
07-12-2023 23.40,08-12-2023 00.05,2023-12-08 00:14:46,24.12,31.0
13-04-2023 10.23,13-04-2023 10.54,2023-04-13 11:02:37,31.28,44.0
23-03-2024 18.12,23-03-2024 18.43,23-03-2024 18:55:09.871847,31.47,42.0
12-08-2023 12.20,12-08-2023 12.48,2023-08-12 12:51:05,27.67,28.0
,21-03-2024 13.31,2024-03-21 13:41:18,18.71,9.0
09-02-2024 15.23,09-02-2024 15.52,2024-02-09 16:00:30,29.24,39.0
18-02-2024 18.21,18-02-2024 18.35,18-02-2024 18:48:28.834182,13.93,33.0
30-03-2023 8.42,30-03-2023 8.46,2023-03-30 08:52:12.799999999,5.43,47.0
06-09-2023 04.44,06-09-2023 05.06,2023-09-06 05:14:33,21.76,39.0
06-03-2024 06.27,06-03-2024 06.42,2024-03-06 06:53:16,14.66,23.0
05-04-2023 10.56,05-04-2023 11.16,2023-04-05 11:24:35,19.87,36.0
29-01-2024 23.52,30-01-2024 00.25,2024-01-30 00:40:34,32.61,63.0
25-05-2023 13.50,25-05-2023 14.06,2023-05-25 14:22:47,16.32,28.0
07-05-2023 20.07,07-05-2023 20.22,2023-05-07 20:41:15,14.85,25.0
22-06-2023 05.30,22-06-2023 05.53,2023-06-22 06:05:27,23.46,33.0
30-11-2023 10.44,2023-11-30 11:09,2023-11-30 11:11:47,25.55,19.0
2023/10/05 21:22:55,05-10-2023 21.49,2023-10-05 22:07:33,,36.0
2023/12/14 16:06:45,14-12-2023 16.23,2023-12-14 16:25:35,16.83,34.0
2023/05/12 10:11:51,12-05-2023 10.34,2023-05-12 10:45:43,23.06,24.0
09-06-2023 19.37,2023-06-09 19:50,2023-06-09 20:06:43,12.8,4.0
07-08-2023 01.30,07-08-2023 01.54,2023-08-07 02:02:47,24.42,26.0
28-09-2023 05.06,28-09-2023 05.26,2023-09-28 05:42:03,20.04,30.0
25-03-2024 11.58,25-03-2024 12.21,2024-03-25 12:32:38,23.6,41.0
2024/03/11 07:40:34,11-03-2024 07.52,2024-03-11 08:06:41,11.71,18.0
21-01-2024 18.15,21-01-2024 18.24,2024-01-21 18:35:38,9.01,14.0
02-08-2023 13.55,02-08-2023 14.22,2023-08-02 14:32:30,26.15,51.0
26-04-2023 09.19,26-04-2023 09.53,2023-04-26 09:57:54,34.42,42.0
08-04-2023 01.37,2023-04-08 01:48,2023-04-08 01:59:17,11.54,15.0
12-04-2023 04.03,12-04-2023 04.30,2023-04-12 04:44:27,27.75,45.0
2023/04/17 21:58:46,2023-04-17 22:11,2023-04-17 22:27:43,12.59,9.0
30-03-2023 3.02,30-03-2023 3.03,2023-03-30 03:06:45.600000000,3.51,45.0
30-07-2023 23.01,30-07-2023 23.31,2023-07-30 23:46:45,29.69,38.0
30-03-2023 21.09,30-03-2023 21.18,2023-03-30 21:27:10.800000000,8.33,44.0
17-09-2023 12.58,2023-09-17 13:15,2023-09-17 13:25:22,16.97,33.0
12-09-2023 08.46,2023-09-12 09:04,2023-09-12 09:25:15,18.4,22.0
05-12-2023 22.57,05-12-2023 23.30,2023-12-05 23:44:19,32.98,46.0
2023/11/12 07:05:42,12-11-2023 07.27,2023-11-12 07:38:46,21.79,37.0
14-10-2023 21.03,14-10-2023 21.30,2023-10-14 21:37:07,27.56,39.0
,23-10-2023 00.27,2023-10-23 00:44:32,24.71,35.0
23-01-2024 02.33,23-01-2024 03.01,2024-01-23 03:14:30,28.13,29.0
2023/08/23 00:44:58,23-08-2023 01.11,2023-08-23 01:19:42,26.99,43.0
08-07-2023 10.52,08-07-2023 10.30,2023-07-08 10:58:06,22.57,33.0
30-03-2023 1.58,30-03-2023 2.07,2023-03-30 02:20:21.400000000,12.74,27.0
04-05-2023 19.20,04-05-2023 19.31,2023-05-04 19:40:09,10.48,0.0
21-06-2023 08.23,2023-06-21 08:46,2023-06-21 08:57:57,23.18,35.0
2023/09/17 09:28:32,17-09-2023 09.52,2023-09-17 10:10:42,23.61,47.0
30-03-2023 3.02,30-03-2023 3.11,2023-03-30 03:24:03.000000000,12.8,45.0
30-11-2023 01.39,30-11-2023 01.57,2023-11-30 02:00:59,17.38,18.0
05-03-2024 03.59,05-03-2024 04.30,2024-03-05 04:45:27,31.4,35.0
05-12-2023 09.57,05-12-2023 10.24,2023-12-05 10:38:35,26.97,38.0
30-03-2023 6.51,30-03-2023 6.56,2023-03-30 07:04:50.200000000,8.17,24.0
07-06-2023 14.56,07-06-2023 15.06,2023-06-07 15:24:58,10.44,27.0
30-08-2023 08.47,30-08-2023 09.14,2023-08-30 09:28:24,27.12,48.0
11-06-2023 23.37,2023-06-11 23:49,2023-06-12 00:04:16,12.12,24.0
17-08-2023 03.35,17-08-2023 03.47,2023-08-17 03:55:08,12.53,28.0
10-09-2023 11.12,10-09-2023 11.44,2023-09-10 11:56:24,31.78,56.0
08-01-2024 02.48,2024-01-08 03:01,2024-01-08 03:15:30,12.96,17.0
02-09-2023 08.53,02-09-2023 09.09,2023-09-02 09:24:25,16.64,
20-05-2023 00.42,20-05-2023 01.12,2023-05-20 01:16:32,30.35,47.0
2023/10/03 15:13:43,03-10-2023 15.40,2023-10-03 15:50:19,26.87,38.0
26-02-2024 08.50,26-02-2024 09.16,2024-02-26 09:24:50,26.45,33.0
01-05-2023 06.27,01-05-2023 06.46,2023-05-01 06:56:12,,27.0
30-03-2023 5.34,30-03-2023 5.34,2023-03-30 05:37:11.400000000,2.89,50.0
23-02-2024 03.38,23-02-2024 03.55,2024-02-23 04:16:08,17.46,21.0
01-12-2023 01.44,01-12-2023 02.10,2023-12-01 02:24:22,25.27,31.0
26-03-2024 20.17,26-03-2024 20.45,2024-03-26 20:47:52,27.91,50.0
24-10-2023 11.35,2023-10-24 12:07,2023-10-24 12:16:48,31.83,42.0
24-09-2023 22.17,2023-09-24 22:33,2023-09-24 22:35:58,15.63,26.0
20-04-2023 11.40,2023-04-20 11:58,2023-04-20 12:04:23,17.9,15.0
01-08-2023 22.26,01-08-2023 22.52,2023-08-01 23:04:26,25.74,39.0
06-06-2023 08.22,06-06-2023 09.03,2023-06-06 09:11:34,40.76,48.0
14-07-2023 14.36,14-07-2023 15.06,2023-07-14 15:22:00,98.13,48.0
11-03-2024 22.13,11-03-2024 22.33,2024-03-11 22:51:28,20.0,42.0
18-11-2023 03.26,18-11-2023 03.55,2023-11-18 04:07:59,28.91,28.0
01-07-2023 03.03,01-07-2023 03.18,2023-07-01 03:37:50,15.39,18.0
22-06-2023 17.11,22-06-2023 17.33,2023-06-22 17:44:46,22.41,39.0
14-05-2023 14.29,14-05-2023 14.56,2023-05-14 15:04:46,26.43,53.0
23-05-2023 18.30,23-05-2023 18.59,2023-05-23 19:09:31,28.3,56.0
30-03-2023 5.34,30-03-2023 5.43,2023-03-30 05:51:55.800000000,8.63,50.0
30-03-2023 12.33,30-03-2023 12.38,2023-03-30 12:58:21.399999999,20.24,40.0
,30-03-2023 6.53,2023-03-30 07:02:49.600000000,9.16,214.0
2023/09/26 04:44:02,26-09-2023 05.02,2023-09-26 05:12:16,18.26,23.0
14-12-2023 18.42,14-12-2023 19.03,2023-12-14 19:18:16,21.04,26.0
30-03-2023 1.58,30-03-2023 2.06,2023-03-30 02:24:08.800000000,17.53,27.0
30-12-2023 05.59,2023-12-30 06:16,2023-12-30 06:30:57,16.29,37.0
02-08-2023 02.06,02-08-2023 02.41,2023-08-02 02:43:44,34.84,59.0
2024/01/13 16:44:19,13-01-2024 17.04,2024-01-13 17:20:47,20.58,29.0
02-07-2023 09.07,02-07-2023 09.24,2023-07-02 09:36:51,17.11,26.0
30-03-2023 21.09,30-03-2023 21.18,2023-03-30 21:23:42.600000000,4.86,44.0
17-09-2023 22.58,17-09-2023 23.23,2023-09-17 23:37:34,25.66,49.0
11-11-2023 08.21,2023-11-11 08:51,2023-11-11 09:02:43,29.94,46.0
16-12-2023 17.35,2023-12-16 17:50,2023-12-16 17:55:28,15.38,9.0
11-10-2023 16.07,11-10-2023 16.41,2023-10-11 17:12:43,34.54,50.0
30-03-2023 12.33,30-03-2023 12.40,2023-03-30 12:50:04.600000000,9.96,40.0
08-05-2023 23.16,08-05-2023 23.42,2023-05-09 00:03:05,25.74,25.0
,08-04-2023 16.57,08-04-2023 17:10:35.351494,21.97,9.0
30-03-2023 08.50,30-03-2023 09.23,2023-03-30 09:43:07,32.96,55.0
30-03-2023 5.34,30-03-2023 5.41,2023-03-30 05:55:29.400000000,14.19,50.0
2023/05/18 08:42:20,18-05-2023 09.01,2023-05-18 09:06:38,19.59,26.0
19-12-2023 21.26,19-12-2023 21.43,2023-12-19 22:00:00,17.01,37.0
,06-06-2023 20.27,2023-06-06 20:38:24,30.43,50.0
01-09-2023 03.52,01-09-2023 04.23,2023-09-01 04:25:13,30.14,44.0
24-03-2024 05.48,24-03-2024 06.14,2024-03-24 06:24:16,26.22,41.0
2023/05/17 02:20:20,17-05-2023 02.40,2023-05-17 02:51:07,20.22,27.0
05-06-2023 21.18,05-06-2023 21.40,2023-06-05 21:47:59,21.93,17.0
24-03-2024 03.03,24-03-2024 03.32,2024-03-24 03:45:58,29.42,47.0
05-05-2023 14.41,05-05-2023 15.10,2023-05-05 15:21:48,,31.0
13-01-2024 16.49,2024-01-13 17:14,13-01-2024 17:23:48.246585,25.42,38.0
01-01-2024 09.07,01-01-2024 09.29,2024-01-01 09:44:55,22.1,44.0
24-10-2023 22.30,24-10-2023 22.36,2023-10-24 22:47:37,5.76,3.0
22-08-2023 21.19,22-08-2023 21.43,2023-08-22 21:47:04,23.85,33.0
23-11-2023 05.11,23-11-2023 05.30,2023-11-23 05:39:25,19.35,180.0
07-12-2023 13.42,07-12-2023 14.04,2023-12-07 14:12:05,21.7,37.0
17-11-2023 09.23,17-11-2023 09.35,2023-11-17 09:40:43,11.94,5.0
25-09-2023 18.08,25-09-2023 18.38,2023-09-25 18:40:06,29.61,42.0
04-06-2023 04.32,04-06-2023 04.57,04-06-2023 05:11:06.916152,24.56,29.0
25-04-2023 05.40,25-04-2023 05.55,2023-04-25 06:08:37,15.19,19.0
18-10-2023 15.42,18-10-2023 15.54,2023-10-18 16:07:54,12.28,0.0
30-03-2023 0.10,30-03-2023 0.13,2023-03-30 00:25:48.400000000,12.74,28.0
22-11-2023 23.04,22-11-2023 23.18,2023-11-22 23:37:06,13.33,29.0
08-03-2024 14.51,08-03-2024 15.17,2024-03-08 15:24:43,25.3,45.0
30-03-2023 21.09,30-03-2023 21.15,2023-03-30 21:25:13.800000000,52.06,44.0
21-10-2023 19.36,21-10-2023 20.02,2023-10-21 20:06:53,26.69,59.0
19-08-2023 10.59,19-08-2023 11.26,2023-08-19 11:34:32,27.53,56.0
03-02-2024 10.50,03-02-2024 11.16,2024-02-03 11:25:41,25.6,31.0
29-08-2023 04.07,2023-08-29 04:21,2023-08-29 04:38:19,14.42,16.0
31-03-2023 11.16,31-03-2023 11.34,31-03-2023 11:43:32.756597,18.0,20.0
13-09-2023 01.55,13-09-2023 02.24,2023-09-13 02:36:28,29.07,51.0
30-03-2023 20.49,30-03-2023 20.54,2023-03-30 21:09:51.200000000,14.92,22.0
18-09-2023 13.45,18-09-2023 14.17,2023-09-18 14:31:47,31.86,40.0
13-05-2023 15.25,13-05-2023 15.47,2023-05-13 15:57:14,21.91,18.0
30-03-2023 12.33,30-03-2023 12.39,2023-03-30 12:46:31.600000000,7.41,40.0
31-01-2024 00.22,31-01-2024 00.39,2024-01-31 00:47:38,17.14,32.0
17-04-2023 21.14,17-04-2023 21.41,2023-04-17 21:47:13,26.98,41.0
30-03-2023 2.36,30-03-2023 2.36,2023-03-30 02:41:40.800000000,5.53,
14-06-2023 10.44,14-06-2023 11.05,2023-06-14 11:31:36,20.33,40.0
24-12-2023 07.47,24-12-2023 08.14,2023-12-24 08:20:12,26.53,53.0
,20-07-2023 07.38,2023-07-20 07:43:33,19.27,27.0
