arrival_time,start_time,finish_time,wait_time,queue_length
16-03-2024 9.27,16-03-2024 09.44,2024-03-16 09:56:21,16.53,37.0
05-11-2024 12.20,05-11-2024 12.29,2024-11-05 12:32:54,9.62,19.0
2023/03/23 15:27:00,23-03-2023 15.43,2023-03-23 15:45:00,16.81,28.0
2024/01/04 12:06:00,04-01-2024 12.30,2024-01-04 12:41:09,24.12,30.0
29-02-2024 12.36,29-02-2024 13.05,2024-02-29 13:15:21,29.24,0.0
01-11-2024 10.39,01-11-2024 10.56,2024-11-01 11:01:47,17.5,27.0
16-09-2023 12.26,16-09-2023 12.55,2023-09-16 13:00:00,29.55,39.0
02-03-2023 10.07,02-03-2023 10.26,2023-03-02 10:36:36,19.59,19.0
26-08-2024 13.55,26-08-2024 14.32,2024-08-26 14:41:46,37.16,75.0
2023/02/01 14:06:00,01-02-2023 14.16,2023-02-01 14:28:54,10.11,25.0
2023/02/04 13:00:00,04-02-2023 13.01,2023-02-04 13:02:00,1.0,17.0
12-10-2024 12.31,12-10-2024 12.55,2024-10-12 13:00:00,24.38,33.0
09-05-2024 14.22,09-05-2024 14.40,2024-05-09 14:52:54,18.25,41.0
27-07-2023 10.40,27-07-2023 10.41,2023-07-27 10:43:24,1.0,32.0
07-01-2023 13.00,07-01-2023 13.01,2023-01-07 13:02:00,1.0,17.0
24-10-2023 12.41,24-10-2023 13.01,2023-10-24 13:18:01,20.2,202.0
06-05-2023 10.36,06-05-2023 10.55,2023-05-06 11:02:33,19.72,9.0
01-05-2024 14.09,01-05-2024 14.25,2024-05-01 14:41:12,16.14,25.0
18-06-2024 09.09,18-06-2024 09.37,2024-06-18 09:41:24,28.38,
24-06-2023 10.47,24-06-2023 11.03,2023-06-24 11:15:01,16.68,24.0
15-07-2024 10.44,15-07-2024 11.02,2024-07-15 11:11:04,18.6,27.0
08-11-2023 09.24,08-11-2023 09.47,2023-11-08 10:05:41,23.95,38.0
2023/05/26 09:57:00,26-05-2023 10.21,2023-05-26 10:40:44,23.96,10.0
2023/03/01 10:46:00,01-03-2023 11.10,2023-03-01 11:22:40,24.09,35.0
13-09-2023 10.05,13-09-2023 10.31,2023-09-13 10:48:20,26.56,24.0
2023/08/09 09:40:00,09-08-2023 10.07,2023-08-09 10:19:45,27.92,
2024/06/14 11:33:00,14-06-2024 12.04,2024-06-14 12:14:38,31.68,55.0
26-08-2023 11.31,26-08-2023 11.57,2023-08-26 12:11:33,26.04,32.0
30-04-2024 10.28,30-04-2024 11.04,2024-04-30 11:15:48,36.19,33.0
07-11-2023 09.54,07-11-2023 10.14,2023-11-07 10:31:35,20.15,39.0
18-10-2023 14.12,18-10-2023 14.21,2023-10-18 14:35:35,9.14,0.0
30-10-2024 10.44,30-10-2024 11.10,2024-10-30 11:26:41,26.48,
14-06-2024 09.49,14-06-2024 10.05,2024-06-14 10:14:35,16.77,26.0
27-12-2023 11.36,27-12-2023 11.45,2023-12-27 12:03:58,9.72,19.0
21-02-2023 09.48,21-02-2023 10.05,2023-02-21 10:17:37,17.06,23.0
27-06-2024 13.26,27-06-2024 13.50,2024-06-27 13:53:57,24.89,33.0
2024/05/20 13:47:00,20-05-2024 14.09,2024-05-20 14:21:54,22.56,7.0
01-11-2023 11.40,01-11-2023 12.02,2023-11-01 12:17:09,22.67,23.0
16-01-2024 14.41,16-01-2024 15.10,2024-01-16 15:24:19,29.23,31.0
02-08-2024 09.34,02-08-2024 09.40,2024-08-02 09:48:05,6.92,169.0
20-04-2024 10.21,20-04-2024 10.31,2024-04-20 10:41:57,10.91,32.0
31-10-2024 13.43,31-10-2024 14.12,2024-10-31 14:14:57,29.72,47.0
07-02-2024 14.39,07-02-2024 15.00,2024-02-07 15:14:38,21.9,43.0
12-06-2024 13.43,12-06-2024 14.12,2024-06-12 14:19:37,29.9,38.0
11-09-2024 12.59,11-09-2024 13.17,2024-09-11 13:27:22,,34.0
2023/02/21 13:23:00,21-02-2023 13.39,2023-02-21 13:45:59,16.88,162.0
15-02-2023 14.42,15-02-2023 15.01,2023-02-15 15:09:40,19.8,28.0
14-12-2023 14.57,14-12-2023 15.17,2023-12-14 15:26:18,20.8,27.0
25-09-2024 10.04,25-09-2024 10.27,2024-09-25 10:36:28,23.76,34.0
09-09-2024 12.11,09-09-2024 12.27,2024-09-09 12:38:59,16.96,24.0
09-01-2024 15.28,09-01-2024 15.44,2024-01-09 15:45:00,,43.0
07-11-2023 10.35,07-11-2023 10.57,2023-11-07 11:05:04,22.6,34.0
15-09-2023 09.47,15-09-2023 10.07,2023-09-15 10:17:31,20.5,34.0
15-01-2024 13.45,15-01-2024 14.03,2024-01-15 14:13:56,18.51,7.0
,25-11-2023 10.39,2023-11-25 10:52:17,12.94,32.0
2024/05/21 12:01:00,21-05-2024 12.19,2024-05-21 12:24:18,18.82,23.0
28-03-2024 10.30,28-03-2024 10.59,2024-03-28 11:05:42,29.62,45.0
16-11-2024 13.00,16-11-2024 13.01,2024-11-16 13:02:00,1.0,7.0
2023/01/18 10:24:00,18-01-2023 10.44,2023-01-18 10:53:52,20.57,34.0
01-05-2024 09.59,01-05-2024 10.14,2024-05-01 10:31:28,14.42,0.0
2023/04/01 10:27:00,01-04-2023 10.33,2023-04-01 10:35:14,6.95,11.0
23-04-2024 09.19,23-04-2024 09.53,2024-04-23 10:00:53,34.19,
2023/01/27 10:31:00,27-01-2023 10.39,2023-01-27 10:52:17,8.23,32.0
22-10-2024 10.48,22-10-2024 11.13,2024-10-22 11:25:52,25.97,32.0
16-10-2023 12.10,16-10-2023 12.40,2023-10-16 12:51:26,30.11,32.0
07-03-2023 14.07,07-03-2023 14.27,2023-03-07 14:36:07,20.52,32.0
25-06-2024 10.58,25-06-2024 11.20,2024-06-25 11:23:19,21.86,29.0
23-11-2023 14.30,23-11-2023 15.44,2023-11-23 15:45:00,74.0,48.0
2023/12/19 12:43:00,19-12-2023 12.57,2023-12-19 13:12:24,14.95,40.0
14-10-2024 10.12,14-10-2024 10.31,2024-10-14 10:44:29,19.5,23.0
14-03-2023 09.53,14-03-2023 10.30,2023-03-14 10:45:16,37.56,34.0
25-09-2023 15.29,25-09-2023 15.43,2023-09-25 15:45:00,14.96,24.0
20-11-2024 09.23,20-11-2024 09.58,2024-11-20 10:03:29,35.41,53.0
28-05-2024 09.49,28-05-2024 09.53,2024-05-28 10:05:56,4.15,10.0
2023/09/23 11:29:00,23-09-2023 11.48,2023-09-23 11:51:45,19.3,19.0
29-03-2024 09.43,29-03-2024 09.44,2024-03-29 09:48:42,1.0,10.0
17-04-2024 09.15,17-04-2024 09.35,2024-04-17 09:49:04,19.5,40.0
17-03-2023 12.11,17-03-2023 12.33,2023-03-17 12:44:19,22.26,33.0
16-02-2024 09.55,16-02-2024 10.13,2024-02-16 10:22:02,18.62,32.0
22-08-2023 10.48,22-08-2023 11.10,2023-08-22 11:17:49,22.48,22.0
20-05-2024 10.11,20-05-2024 10.32,2024-05-20 10:45:18,21.51,29.0
10-10-2023 12.56,10-10-2023 13.15,2023-10-10 13:20:33,19.14,20.0
2024/07/16 14:24:00,16-07-2024 14.44,2024-07-16 14:46:15,20.52,26.0
04-05-2024 09.57,04-05-2024 10.07,2024-05-04 10:21:15,10.35,17.0
08-09-2023 10.47,08-09-2023 11.18,2023-09-08 11:24:45,31.45,205.0
14-03-2024 14.21,14-03-2024 14.25,2024-03-14 14:32:53,4.93,17.0
2023/12/20 10:33:00,20-12-2023 10.55,2023-12-20 11:00:08,22.25,29.0
12-10-2024 13.00,12-10-2024 13.01,2024-10-12 13:02:00,1.0,32.0
2024/07/04 10:38:00,04-07-2024 11.00,2024-07-04 11:10:10,22.39,29.0
28-07-2023 15.26,28-07-2023 15.44,2023-07-28 15:45:00,18.0,57.0
2023/01/12 09:29:00,12-01-2023 09.44,2023-01-12 09:57:07,15.37,40.0
07-04-2023 12.43,07-04-2023 12.52,2023-04-07 13:00:38,9.32,40.0
29-05-2023 12.47,29-05-2023 13.20,2023-05-29 13:29:57,33.78,39.0
02-05-2024 14.43,02-05-2024 15.16,2024-05-02 15:28:20,33.4,31.0
22-11-2023 11.46,22-11-2023 12.05,2023-11-22 12:08:14,19.92,38.0
05-01-2023 15.17,05-01-2023 15.44,2023-01-05 15:45:00,27.0,39.0
2023/02/13 09:19:00,13-02-2023 09.38,2023-02-13 09:49:21,19.04,23.0
2024/06/20 12:38:00,20-06-2024 12.53,2024-06-20 13:02:55,15.54,31.0
24-03-2023 14.30,24-03-2023 14.50,2023-03-24 15:01:23,20.9,600.0
22-09-2023 14.35,22-09-2023 14.53,2023-09-22 15:00:09,18.18,45.0
24-07-2024 14.07,24-07-2024 14.21,2024-07-24 14:38:10,14.44,25.0
19-10-2023 13.40,19-10-2023 13.49,2023-10-19 13:58:25,9.8,146.0
07-10-2023 13.00,07-10-2023 13.01,2023-10-07 13:02:00,1.0,17.0
10-08-2024 12.16,10-08-2024 12.35,2024-08-10 12:46:21,19.91,33.0
22-10-2024 13.24,22-10-2024 14.00,2024-10-22 14:08:54,36.62,46.0
23-11-2024 13.00,23-11-2024 13.01,2024-11-23 13:02:00,1.0,17.0
2023/05/06 10:36:00,06-05-2023 10.49,2023-05-06 11:02:09,13.9,24.0
23-11-2024 13.00,23-11-2024 13.01,2024-11-23 13:02:00,1.0,25.0
2023/07/15 13:00:00,15-07-2023 13.01,2023-07-15 13:02:00,1.0,44.0
10-09-2024 12.40,10-09-2024 13.08,2024-09-10 13:17:30,28.51,23.0
08-05-2023 14.48,08-05-2023 14.56,2023-05-08 15:03:11,8.16,
25-04-2023 11.25,25-04-2023 11.59,2023-04-25 12:23:29,34.45,32.0
21-11-2024 14.20,21-11-2024 14.50,2024-11-21 15:04:07,30.11,48.0
2023/04/22 13:00:00,22-04-2023 13.01,2023-04-22 13:02:00,1.0,
2024/10/25 10:40:00,25-10-2024 10.49,2024-10-25 10:52:55,9.3,12.0
2023/08/11 13:25:00,11-08-2023 14.34,2023-08-11 14:45:47,68.53,20.0
25-12-2023 10.46,25-12-2023 11.06,2023-12-25 11:16:35,20.67,32.0
04-09-2023 12.21,04-09-2023 12.31,2023-09-04 12:43:58,10.49,40.0
21-03-2023 12.30,21-03-2023 12.34,2023-03-21 12:35:54,4.91,19.0
03-05-2023 11.52,03-05-2023 12.19,2023-05-03 12:33:51,27.46,32.0
17-03-2023 09.44,17-03-2023 10.09,2023-03-17 10:11:38,25.78,53.0
09-07-2024 12.13,09-07-2024 12.33,2024-07-09 12:45:16,20.8,38.0
21-08-2023 13.50,21-08-2023 14.25,2023-08-21 14:35:12,35.57,53.0
2024/03/29 11:35:00,29-03-2024 11.55,2024-03-29 12:06:13,20.71,31.0
15-05-2024 10.22,15-05-2024 10.30,2024-05-15 10:34:34,8.25,32.0
2023/05/10 13:36:00,10-05-2023 13.46,2023-05-10 13:59:14,10.82,17.0
27-10-2023 12.52,27-10-2023 14.46,2023-10-27 14:58:34,114.9,46.0
13-05-2024 09.00,13-05-2024 09.18,2024-05-13 09:35:05,18.98,24.0
10-05-2024 10.22,10-05-2024 10.32,2024-05-10 10:44:37,10.52,32.0
2024/04/08 13:50:00,08-04-2024 14.06,2024-04-08 14:20:28,16.25,25.0
01-11-2023 10.33,01-11-2023 11.07,2023-11-01 11:18:16,34.34,49.0
31-01-2023 10.23,31-01-2023 10.37,2023-01-31 10:49:22,14.08,13.0
18-03-2023 10.50,18-03-2023 11.23,2023-03-18 11:31:15,33.38,166.0
08-07-2024 14.12,08-07-2024 14.34,2024-07-08 14:40:07,22.93,32.0
16-03-2023 12.45,16-03-2023 13.15,2023-03-16 13:28:19,30.2,26.0
2024/06/28 10:08:00,28-06-2024 10.38,2024-06-28 10:45:15,30.09,51.0
01-03-2024 09.02,01-03-2024 09.24,2024-03-01 09:36:28,22.88,31.0
02-05-2023 14.17,02-05-2023 14.54,2023-05-02 15:03:01,37.79,55.0
2023/11/07 10:33:00,07-11-2023 10.52,2023-11-07 11:08:54,19.39,32.0
06-02-2023 12.18,06-02-2023 12.29,2023-02-06 12:41:54,11.98,
2024/09/11 15:24:00,11-09-2024 15.39,2024-09-11 15:42:32,15.94,8.0
09-01-2023 12.11,09-01-2023 12.32,2023-01-09 12:44:23,21.87,30.0
19-11-2024 15.30,19-11-2024 15.44,2024-11-19 15:45:00,14.0,57.0
14-10-2023 11.14,14-10-2023 11.40,2023-10-14 11:51:45,26.67,55.0
06-06-2023 10.19,06-06-2023 10.42,2023-06-06 10:46:00,23.38,22.0
2023/04/12 10:24:00,12-04-2023 10.33,2023-04-12 10:45:39,9.61,32.0
25-05-2024 12.30,25-05-2024 12.59,2024-05-25 13:00:00,29.0,57.0
02-11-2023 10.28,02-11-2023 10.38,2023-11-02 10:43:28,10.71,12.0
25-04-2024 09.20,25-04-2024 09.39,2024-04-25 10:03:21,19.62,30.0
19-08-2023 10.27,19-08-2023 10.38,2023-08-19 10:46:59,11.39,32.0
2023/05/26 11:31:00,26-05-2023 11.51,2023-05-26 12:10:35,20.79,47.0
2024/08/08 11:28:00,08-08-2024 11.46,2024-08-08 11:57:25,18.51,24.0
02-09-2023 10.10,02-09-2023 10.31,2023-09-02 10:48:57,21.19,39.0
16-03-2023 15.30,16-03-2023 15.44,2023-03-16 15:45:00,14.0,
28-08-2023 12.05,28-08-2023 12.32,2023-08-28 12:43:55,27.31,22.0
29-02-2024 12.15,29-02-2024 12.41,2024-02-29 12:51:42,26.76,47.0
2023/03/09 14:18:00,09-03-2023 14.27,2023-03-09 14:38:24,9.92,17.0
17-05-2024 12.20,17-05-2024 12.25,2024-05-17 12:33:44,5.56,40.0
12-03-2024 11.22,12-03-2024 11.57,2024-03-12 12:00:36,35.65,57.0
05-03-2024 10.18,05-03-2024 10.29,2024-03-05 10:41:00,10.98,5.0
2023/09/19 11:10:00,19-09-2023 11.32,2023-09-19 11:44:26,22.49,50.0
09-08-2023 10.17,09-08-2023 10.35,2023-08-09 10:51:04,18.76,28.0
19-01-2023 14.00,19-01-2023 14.13,2023-01-19 14:26:35,13.14,41.0
11-09-2024 11.09,11-09-2024 11.29,2024-09-11 11:41:40,20.22,39.0
14-08-2024 12.11,14-08-2024 12.31,2024-08-14 12:41:04,20.42,15.0
03-05-2024 12.18,03-05-2024 12.28,2024-05-03 12:39:57,10.58,40.0
04-04-2023 09.14,04-04-2023 09.48,2023-04-04 10:02:57,34.19,56.0
21-03-2024 11.54,21-03-2024 12.29,2024-03-21 12:44:41,35.35,1000.0
10-04-2024 09.00,10-04-2024 09.14,2024-04-10 09:34:10,14.68,27.0
27-08-2024 14.24,27-08-2024 14.43,2024-08-27 14:53:57,19.44,45.0
09-01-2024 12.18,09-01-2024 12.36,2024-01-09 12:39:41,18.6,23.0
2023/11/18 09:12:00,18-11-2023 09.28,2023-11-18 09:42:02,15.95,25.0
06-10-2023 14.12,06-10-2023 14.25,2023-10-06 14:36:47,13.97,38.0
12-11-2024 12.05,12-11-2024 12.20,2024-11-12 12:31:59,15.87,33.0
10-04-2024 14.51,10-04-2024 15.09,2024-04-10 15:18:52,18.28,28.0
2024/02/06 12:55:00,06-02-2024 13.17,2024-02-06 13:28:21,22.46,37.0
19-05-2023 11.20,19-05-2023 12.55,2023-05-19 13:08:06,95.26,30.0
24-05-2024 09.00,24-05-2024 09.11,2024-05-24 09:31:45,11.9,27.0
2024/01/15 12:32:00,15-01-2024 12.53,2024-01-15 13:03:23,21.86,39.0
21-02-2024 09.44,21-02-2024 10.08,2024-02-21 10:19:56,24.67,39.0
19-10-2023 12.40,19-10-2023 13.09,2023-10-19 13:19:23,,31.0
06-03-2023 13.25,06-03-2023 13.47,2023-03-06 14:02:41,22.14,27.0
19-02-2024 10.49,19-02-2024 11.23,2024-02-19 11:32:08,34.0,39.0
22-03-2024 12.31,22-03-2024 12.53,2024-03-22 13:00:59,22.21,43.0
14-11-2023 14.05,14-11-2023 14.12,2023-11-14 14:19:18,7.69,17.0
03-08-2023 10.42,03-08-2023 10.53,2023-08-03 10:57:12,11.35,32.0
20-07-2024 09.53,20-07-2024 10.09,2024-07-20 10:13:06,16.9,18.0
2023/04/05 13:16:00,05-04-2023 13.47,2023-04-05 13:51:02,31.92,33.0
01-03-2024 15.22,01-03-2024 15.39,2024-03-01 15:45:00,17.02,18.0
21-01-2023 10.00,21-01-2023 10.23,2023-01-21 10:34:14,23.6,28.0
18-07-2024 15.45,18-07-2024 15.46,2024-07-18 15:47:00,1.0,37.0
06-07-2023 14.49,06-07-2023 15.06,2023-07-06 15:18:15,17.95,23.0
11-01-2024 12.12,11-01-2024 12.42,2024-01-11 12:52:35,30.91,57.0
03-04-2023 09.11,03-04-2023 09.32,2023-04-03 09:44:14,21.6,34.0
2023/09/14 14:46:00,14-09-2023 15.06,2023-09-14 15:16:08,20.48,32.0
18-06-2024 15.27,18-06-2024 15.38,2024-06-18 15:45:00,11.88,22.0
2024/06/29 13:00:00,29-06-2024 13.01,2024-06-29 13:02:00,1.0,47.0
2024/01/23 14:53:00,23-01-2024 15.17,2024-01-23 15:28:20,24.98,157.0
23-01-2024 13.58,23-01-2024 14.15,2024-01-23 14:25:40,17.35,7.0
08-03-2024 11.10,08-03-2024 11.23,2024-03-08 11:45:30,13.51,19.0
10-01-2023 13.10,10-01-2023 14.16,2023-01-10 14:24:33,65.52,20.0
19-07-2023 12.40,19-07-2023 13.05,2023-07-19 13:16:07,25.98,36.0
04-10-2023 14.39,04-10-2023 14.55,2023-10-04 14:58:06,16.17,20.0
2024/02/12 15:45:00,12-02-2024 15.46,2024-02-12 15:47:00,1.0,25.0
29-07-2024 09.00,29-07-2024 09.21,2024-07-29 09:28:45,21.2,38.0
26-01-2024 09.11,26-01-2024 09.31,2024-01-26 09:42:32,20.43,28.0
21-05-2024 11.19,21-05-2024 11.46,2024-05-21 12:00:01,27.11,36.0
2023/12/16 11:05:00,16-12-2023 11.22,2023-12-16 11:35:03,17.86,3.0
09-10-2024 13.33,09-10-2024 13.54,2024-10-09 13:59:58,21.23,48.0
17-05-2023 12.48,17-05-2023 12.52,2023-05-17 12:57:44,4.07,40.0
07-05-2024 12.12,07-05-2024 12.31,2024-05-07 12:40:38,19.37,28.0
18-02-2023 11.34,18-02-2023 11.57,2023-02-18 12:07:32,23.49,28.0
01-07-2023 10.33,01-07-2023 10.45,2023-07-01 10:56:07,12.15,32.0
28-08-2024 11.42,28-08-2024 12.06,2024-08-28 12:22:10,24.3,36.0
22-08-2024 15.38,22-08-2024 15.44,2024-08-22 15:45:00,6.0,39.0
19-08-2024 11.05,19-08-2024 11.20,2024-08-19 11:31:51,15.74,38.0
20-10-2023 11.28,20-10-2023 11.49,2023-10-20 11:59:22,21.22,47.0
16-11-2023 12.16,16-11-2023 12.38,2023-11-16 12:51:14,21.89,38.0
10-08-2024 11.48,10-08-2024 12.08,2024-08-10 12:20:03,,35.0
01-10-2024 15.45,01-10-2024 15.46,2024-10-01 15:47:00,1.0,50.0
02-12-2024 10.13,02-12-2024 10.22,2024-12-02 10:33:44,9.47,21.0
08-02-2023 11.50,08-02-2023 12.14,2023-02-08 12:23:38,24.98,24.0
29-11-2024 10.22,29-11-2024 10.48,2024-11-29 10:59:57,26.77,30.0
23-10-2024 12.10,23-10-2024 12.30,2024-10-23 12:40:34,20.91,33.0
03-01-2024 10.36,03-01-2024 11.08,2024-01-03 11:19:42,32.92,36.0
16-02-2024 10.45,16-02-2024 11.04,2024-02-16 11:16:03,19.84,24.0
2024/09/14 13:00:00,14-09-2024 13.01,2024-09-14 13:02:00,1.0,33.0
20-06-2023 11.36,20-06-2023 12.00,2023-06-20 12:08:10,24.65,30.0
09-02-2024 13.39,09-02-2024 14.00,2024-02-09 14:12:43,21.29,28.0
01-03-2024 13.39,01-03-2024 13.57,2024-03-01 14:10:50,18.1,27.0
10-05-2024 12.51,10-05-2024 13.09,2024-05-10 13:17:40,18.69,36.0
27-11-2024 11.28,27-11-2024 11.40,2024-11-27 11:57:27,12.76,22.0
22-05-2023 9.32,22-05-2023 09.50,2023-05-22 10:03:18,18.38,40.0
2024/07/08 12:08:00,08-07-2024 12.22,2024-07-08 12:39:33,14.49,6.0
20-05-2024 10.36,20-05-2024 10.54,2024-05-20 11:03:48,18.84,24.0
01-08-2024 15.45,01-08-2024 15.46,2024-08-01 15:47:00,1.0,15.0
05-07-2023 13.17,05-07-2023 13.28,2023-07-05 13:40:24,11.93,18.0
21-11-2024 10.40,21-11-2024 10.54,2024-11-21 11:10:06,14.81,32.0
,10-10-2023 13.54,2023-10-10 14:05:08,15.19,17.0
01-02-2023 10.29,01-02-2023 10.37,2023-02-01 10:46:04,8.25,32.0
24-07-2024 13.58,24-07-2024 14.29,2024-07-24 14:37:08,31.07,51.0
06-04-2023 12.29,06-04-2023 12.52,2023-04-06 12:55:10,22.99,15.0
2024/03/23 11:05:00,23-03-2024 11.36,2024-03-23 11:45:43,31.74,39.0
16-05-2024 14.10,16-05-2024 14.19,2024-05-16 14:31:14,9.74,25.0
27-08-2024 12.25,27-08-2024 12.51,2024-08-27 13:04:48,26.52,33.0
19-04-2024 10.03,19-04-2024 10.23,2024-04-19 10:34:42,19.38,24.0
05-03-2024 12.54,05-03-2024 13.32,2024-03-05 13:44:18,38.15,54.0
20-04-2023 12.28,20-04-2023 12.55,2023-04-20 13:07:00,27.58,41.0
23-02-2024 10.07,23-02-2024 10.33,2024-02-23 10:43:21,26.42,26.0
2023/01/14 12:24:00,14-01-2023 12.43,2023-01-14 13:00:00,19.65,40.0
29-07-2023 10.28,29-07-2023 10.42,2023-07-29 10:52:14,14.94,32.0
28-02-2024 14.13,28-02-2024 14.28,2024-02-28 14:46:16,15.03,
01-06-2023 10.20,01-06-2023 10.39,2023-06-01 10:50:36,18.86,30.0
14-02-2023 14.10,14-02-2023 14.25,2023-02-14 14:32:52,15.3,37.0
21-02-2023 14.00,21-02-2023 14.17,2023-02-21 14:24:22,17.44,8.0
15-03-2024 15.32,15-03-2024 15.44,2024-03-15 15:45:00,12.0,16.0
24-02-2024 12.31,24-02-2024 12.43,2024-02-24 12:47:16,12.58,40.0
08-11-2024 10.38,08-11-2024 11.10,2024-11-08 11:15:36,32.31,35.0
2023/11/16 13:06:00,16-11-2023 13.37,2023-11-16 13:39:56,31.75,44.0
04-11-2023 11.07,04-11-2023 11.32,2023-11-04 11:46:09,25.75,17.0
2023/09/04 11:15:00,04-09-2023 11.34,2023-09-04 11:49:12,19.12,26.0
16-11-2024 09.12,16-11-2024 09.42,2024-11-16 09:56:48,30.36,49.0
21-10-2023 10.28,21-10-2023 10.38,2023-10-21 10:48:35,10.64,32.0
22-06-2024 11.42,22-06-2024 12.04,2024-06-22 12:17:10,22.06,32.0
2023/05/31 09:49:00,31-05-2023 10.14,2023-05-31 10:27:44,,30.0
11-04-2024 11.45,11-04-2024 11.57,2024-04-11 12:09:43,12.03,13.0
2024/07/17 09:09:00,17-07-2024 09.43,2024-07-17 09:54:26,34.84,49.0
08-02-2023 13.35,08-02-2023 14.04,2023-02-08 14:20:27,29.93,52.0
13-03-2024 12.43,13-03-2024 12.59,2024-03-13 13:12:38,,29.0
2023/12/08 11:32:00,08-12-2023 12.00,2023-12-08 12:13:00,28.62,34.0
09-08-2023 10.11,09-08-2023 10.42,2023-08-09 10:55:58,31.07,38.0
2024/10/03 10:35:00,03-10-2024 10.37,2024-10-03 10:39:11,2.61,32.0
17-04-2024 10.30,17-04-2024 10.58,2024-04-17 11:08:07,28.1,32.0
23-06-2023 11.39,23-06-2023 12.02,2023-06-23 12:11:46,23.02,40.0
13-11-2023 10.49,13-11-2023 11.06,2023-11-13 11:19:34,17.29,16.0
02-11-2023 12.50,02-11-2023 13.13,2023-11-02 13:30:47,23.72,30.0
19-01-2024 15.14,19-01-2024 15.38,2024-01-19 15:43:56,24.21,23.0
28-12-2023 09.52,28-12-2023 10.15,2023-12-28 10:24:52,23.1,47.0
10-08-2023 10.42,10-08-2023 11.20,2023-08-10 11:31:35,38.46,33.0
12-08-2023 09.33,12-08-2023 10.18,2023-08-12 10:26:43,45.39,44.0
25-01-2024 14.05,25-01-2024 14.14,2024-01-25 14:28:19,9.76,25.0
04-10-2024 12.33,04-10-2024 12.43,2024-10-04 12:46:30,10.27,5.0
08-07-2023 13.00,08-07-2023 13.01,2023-07-08 13:02:00,1.0,200.0
20-07-2024 10.20,20-07-2024 10.36,2024-07-20 10:55:21,16.29,0.0
20-09-2024 10.56,20-09-2024 11.25,2024-09-20 11:29:01,29.04,64.0
22-01-2024 14.45,22-01-2024 14.55,2024-01-22 15:01:11,10.55,29.0
21-08-2023 10.30,21-08-2023 10.49,2023-08-21 10:56:58,19.54,20.0
2023/08/04 11:08:00,04-08-2023 11.27,2023-08-04 11:38:03,19.72,215.0
21-06-2024 09.58,21-06-2024 10.05,2024-06-21 10:13:00,7.93,32.0
